X,Y,Z
ft,ft,ft
196.997757,66.5,-1.022526
197.247729,66.5,-1.027336
197.497522,66.5,-1.056877
197.747314,66.5,-1.086418
197.997211,66.5,-1.101672
198.247051,66.5,-1.124653
198.496914,66.5,-1.144497
198.746718,66.5,-1.172526
198.99655,66.5,-1.196695
199.246399,66.5,-1.218409
199.496282,66.5,-1.235564
199.746168,66.5,-1.252141
199.996049,66.5,-1.269566
200.245941,66.5,-1.285419
200.496015,66.5,-1.276031
200.745786,66.5,-1.308649
200.99585,66.5,-1.300716
201.245829,66.5,-1.304402
201.495776,66.5,-1.312738
201.745771,66.5,-1.314297
201.995777,66.5,-1.314421
202.245763,66.5,-1.317154
202.495737,66.5,-1.321735
202.745728,66.5,-1.323874
202.995747,66.5,-1.322195
203.245734,66.5,-1.324853
203.495724,66.5,-1.327076
203.745716,66.5,-1.329072
203.995696,66.5,-1.33275
204.245703,66.5,-1.33272
204.495685,66.5,-1.336109
204.745657,66.5,-1.340913
204.995646,66.5,-1.343342
205.245506,66.5,-1.363554
205.495821,66.5,-1.32091
205.746136,66.5,-1.278266
205.996449,66.5,-1.235939
206.246718,66.5,-1.199667
206.497021,66.5,-1.158635
206.747324,66.5,-1.117603
206.997656,66.5,-1.072587
207.247837,66.5,-1.048563
207.497967,66.5,-1.031386
207.748098,66.5,-1.01421
207.998225,66.5,-0.997556
208.24836,66.5,-0.979857
208.498477,66.5,-0.964613
208.748292,66.5,-0.991083
208.998156,66.5,-1.010695
209.248001,66.5,-1.033038
209.497877,66.5,-1.051146
209.74795,66.5,-1.041916
209.99764,66.5,-1.085705
210.247387,66.5,-1.12165
210.49709,66.5,-1.163558
210.746799,66.5,-1.204682
210.99647,66.5,-1.251133
211.246439,66.5,-1.256233
211.495903,66.5,-1.331322
211.745556,66.5,-1.380197
211.995266,66.5,-1.421135
212.244903,66.5,-1.472304
212.495389,66.5,-1.405994
212.745438,66.5,-1.400076
212.995382,66.5,-1.408822
213.245522,66.5,-1.39031
213.495435,66.5,-1.403217
213.745539,66.5,-1.389722
213.995651,66.5,-1.375123
214.24578,66.5,-1.358248
214.495909,66.5,-1.341341
214.74603,66.5,-1.325554
214.996247,66.5,-1.296441
215.24638,66.5,-1.278847
215.496554,66.5,-1.255768
215.746757,66.5,-1.228556
215.996989,66.5,-1.197405
216.247187,66.5,-1.170903
216.497374,66.5,-1.146046
216.747579,66.5,-1.118532
216.997802,66.5,-1.088667
217.248017,66.5,-1.059758
217.498244,66.5,-1.029256
217.748449,66.5,-1.001921
217.998637,66.5,-0.976741
218.248848,66.5,-0.948565
218.499043,66.5,-0.922448
218.74917,66.5,-0.905805
218.999328,66.5,-0.884869
219.249325,66.5,-0.886173
219.499438,66.5,-0.871429
219.749468,66.5,-0.868211
219.99941,66.5,-0.877114
220.249136,66.5,-0.915907
220.498957,66.5,-0.94155
220.74869,66.5,-0.979352
220.998507,66.5,-1.005549
221.248301,66.5,-1.035046
221.498069,66.5,-1.06793
221.747876,66.5,-1.095531
221.997656,66.5,-1.12683
222.247451,66.5,-1.156153
222.497275,66.5,-1.181409
222.747063,66.5,-1.211575
222.996866,66.5,-1.239723
223.246665,66.5,-1.268417
223.496502,66.5,-1.2918
223.746338,66.5,-1.315463
223.996172,66.5,-1.339291
224.246054,66.5,-1.356506
224.495929,66.5,-1.374687
224.745818,66.5,-1.390959
224.995702,66.5,-1.407869
225.245584,66.5,-1.425098
225.495469,66.5,-1.441883
225.745347,66.5,-1.459659
225.995241,66.5,-1.475269
226.245134,66.5,-1.491018
226.495052,66.5,-1.503194
226.74495,66.5,-1.518194
226.994844,66.5,-1.533808
227.74461,66.5,-1.568835
227.994511,66.5,-1.583469
228.244514,66.5,-1.583907
228.494562,66.5,-1.578169
228.744551,66.5,-1.580575
228.994602,66.5,-1.574471
229.244652,66.5,-1.568499
229.494696,66.5,-1.563234
229.744744,66.5,-1.557609
229.994815,66.5,-1.54865
230.244865,66.5,-1.542598
230.494911,66.5,-1.537176
230.744953,66.5,-1.532226
230.995003,66.5,-1.526314
231.245057,66.5,-1.519651
231.495103,66.5,-1.51421
231.745152,66.5,-1.508417
231.99519,66.5,-1.503952
232.245255,66.5,-1.495892
232.49522,66.5,-1.501722
232.745438,66.5,-1.472498
232.995654,66.5,-1.443451
233.245963,66.5,-1.401649
233.496142,66.5,-1.377781
233.746388,66.5,-1.344653
233.996608,66.5,-1.315133
234.246858,66.5,-1.281563
234.4971,66.5,-1.248961
234.747329,66.5,-1.218155
234.997517,66.5,-1.19314
235.247741,66.5,-1.163019
235.497976,66.5,-1.131462
235.748188,66.5,-1.103074
